N1	N2	Na	prop_ntrl_N	bf	Tsplit	Tsc	M12	prop_ntrl_M12	M21	prop_ntrl_M21
19.53659	13.27166	27.03962	3	0.22210	13.22034	0.96344	1.90816	4	4.69489	4
21.10255	15.82259	4.37779	4	0.12722	24.74877	12.38729	7.49131	3	2.62246	0
2.51201	15.67946	28.79393	0	0.01945	4.77006	3.28481	7.24381	4	2.57969	0
20.28475	28.18456	4.02724	4	0.93185	6.26852	4.31682	4.36422	0	6.38257	2
22.97384	29.00477	21.54322	4	0.70343	14.22519	5.26331	9.57190	0	9.12069	0
10.61665	11.60430	9.67881	3	0.97284	3.18361	0.89732	6.43714	4	8.04948	2
18.86106	2.32646	11.98890	3	0.39366	23.29933	4.80831	9.77057	0	6.43093	2
18.72267	15.35881	24.46628	0	0.37478	24.97299	15.75794	8.49176	0	6.74185	3
8.99869	22.58881	25.66798	2	0.93359	2.43867	1.70739	6.75177	2	3.71928	2
11.06982	9.80741	12.40860	0	0.19394	4.39970	0.51432	4.45300	3	2.60787	4
